(0.108032,-0.128418)
(0.213013,-0.293579)
(0.179932,-0.409790)
(-0.101929,-0.250732)
(-0.297485,-0.083862)
(-0.094604,-0.164917)
(0.220581,-0.266846)
(0.138672,-0.088745)
(-0.269775,0.202881)
(-0.442139,0.284546)
(-0.167969,0.263428)
(0.179321,0.443726)
(0.307373,0.671509)
(0.354980,0.487671)
(0.423950,-0.078613)
(0.297119,-0.428467)
(-0.077881,-0.224854)
(-0.302856,0.181396)
(-0.130249,0.338501)
(0.050659,0.250732)
(-0.181519,0.106079)
(-0.525269,-0.130371)
(-0.403687,-0.493652)
(0.041992,-0.710693)
(0.115601,-0.516113)
(-0.295166,-0.086182)
(-0.480713,0.190308)
(-0.017090,0.217896)
(0.558838,0.153442)
(0.579224,0.035645)
(0.204956,-0.174805)
(0.029541,-0.322876)
(0.120728,-0.232544)
(0.081299,-0.078979)
(-0.139160,-0.176025)
(-0.156006,-0.431274)
(0.126709,-0.449951)
(0.294312,-0.183960)
(0.074707,-0.012695)
(-0.264160,-0.105469)
(-0.373779,-0.197388)
(-0.284302,-0.150024)
(-0.172974,-0.217529)
(-0.039795,-0.480469)
(0.094482,-0.516602)
(-0.002686,-0.049927)
(-0.401611,0.479126)
(-0.683594,0.486328)
(-0.428223,0.082886)
(0.114624,-0.180664)
(0.298584,-0.165283)
(-0.018799,-0.148804)
(-0.328003,-0.150146)
(-0.287964,0.074707)
(-0.187866,0.377441)
(-0.348877,0.254028)
(-0.515869,-0.304565)
(-0.281616,-0.644409)
(0.156006,-0.400024)
(0.195190,-0.033325)
(-0.252808,-0.059814)
(-0.556396,-0.272461)
(-0.225220,-0.201904)
(0.422485,0.090942)
(0.731934,0.237671)
(0.556030,0.238892)
(0.260986,0.326538)
(0.039795,0.394897)
(-0.315674,0.205688)
(-0.879395,0.001099)
(-1.232056,0.223755)
(-0.932739,0.660645)
(-0.147705,0.591064)
(0.509033,-0.097534)
(0.699707,-0.646362)
(0.623657,-0.519531)
(0.551514,-0.098999)
(0.434082,0.071167)
(0.148682,0.094482)
(-0.137451,0.261353)
(-0.155640,0.338867)
(0.018921,0.002563)
(0.015991,-0.396240)
(-0.317627,-0.250732)
(-0.703247,0.301514)
(-0.802368,0.547363)
(-0.599121,0.311157)
(-0.313110,0.136963)
(-0.115723,0.275391)
(-0.064697,0.270386)
(-0.154785,-0.149658)
(-0.270142,-0.481323)
(-0.210938,-0.232910)
(0.045654,0.234497)
(0.219116,0.248169)
(0.078735,-0.144531)
(-0.161865,-0.305542)
(-0.085449,0.009766)
(0.306885,0.401611)
(0.530396,0.523926)
(0.293579,0.489990)
(-0.052002,0.486206)
(0.015991,0.446045)
(0.446533,0.279297)
(0.657471,0.093384)
(0.312256,0.001343)
(-0.228638,-0.047974)
(-0.364502,-0.114014)
(-0.003296,-0.148315)
(0.331177,-0.137695)
(0.147583,-0.142822)
(-0.402344,-0.107788)
(-0.689941,0.117065)
(-0.370728,0.446899)
(0.187622,0.537109)
(0.375610,0.266357)
(0.105347,-0.012207)
(-0.159546,0.057251)
(-0.113403,0.322388)
(0.012939,0.357666)
(-0.059448,0.059082)
(-0.152344,-0.289307)
(0.031372,-0.446289)
(0.305420,-0.425171)
(0.230591,-0.324341)
(-0.122070,-0.203491)
(-0.183472,-0.116821)
(0.224121,-0.058105)
(0.544434,0.083252)
(0.325439,0.309204)
(-0.059692,0.362427)
(0.006470,0.069458)
(0.417358,-0.268677)
(0.533325,-0.212402)
(0.208618,0.128052)
(-0.003296,0.198120)
(0.247925,-0.128418)
(0.578735,-0.295410)
(0.504639,0.084229)
(0.150635,0.600830)
(-0.041870,0.663696)
(0.000244,0.350708)
